Code,Course Title,Cluster,Title_short
SSC2050,Psychology and the Law,Psychology,Psycho & Law
SSC2052,Public Finance,Economics,Public Finance
SSC2053,Public Health Policy Making,Governance,Public Health Policy Making
SSC2055,Entrepreneurship,Business,Entrepreneurship
SSC2058,"Sex, Society and Sexuality",Sociology,"Sex, Society and Sexuality"
SSC2059,Social Movements,Sociology,Social Movements
SSC2060,Comparative Constitutional Law,International Law,Comparative Constitutional Law
SSC2061,Statistics I,Methods,Statistics I
SSC2062,Foundations of Cognitive Psychology,Psychology,Foundations of Cognitive Psychology
SSC2063,The Psychology of Individual Differences: Personality and Intelligence,Psychology,The Psychology of Individual Differences: Personality and Intelligence
SSC2064,Migration Studies: Flows and Concepts,Governance,Migration Studies: Flows and Concepts
SSC2065,Theories of Social Order,Sociology,Theories of Social Order
SSC2066,Protection of Civilians in Armed Conflict,International Law,Protection of Civilians in Armed Conflict
SSC3002,European Foreign Policy,Int. Relations,European Foreign Policy
SSC3011,Public Policy Evaluation,Governance,Public Policy Evaluation
SSC3012,War in World Politics,Int. Relations,War in World Pol.
SSC3016,Sustainable Assessment: Tools and Methods,Globalization & SD,Sustainable Assessment: Tools and Methods
SSC3017,Social and Environmental Entrepreneurship,Business,Social and Environmental Entrepreneurship
SSC3018,Statistics II,Methods,Statistics II
SSC3019,Human Reasoning and Cognition,Psychology,Human Reasoning and Cognition
SSC3023,Philosophy of Mind,Philosophy,Philosophy of Mind
SSC3030,European Institutions,International Law,European Institutions
SSC3032,"Atrocity Triangle: Perpetrators, Victims and Bystanders",Int. Relations,Atrocity Triangle
SSC3033,Economic Psychology,Economics,Economic Psychology
SSC3036,American Foreign Policy,Int. Relations,American Foreign Policy
SSC3038,Contemporary Sociological Theory,Sociology,Contemporary Sociological Theory
SSC3040,Identities,Sociology,Identities
SSC3044,"Culture, Politics and Society in Contemporary Asia",Business,"Culture, Politics and Society in Contemporary Asia"
SSC3045,Management and Organization of Asian Enterprises,Business,Management and Organization of Asian Enterprises
SSC3047,Development and Poverty in the 21st Century,Globalization & SD,Development and Poverty in the 21st Century
SSC3049,Human Rights,International Law,Human Rights
SSC3050,Foreign Policy Making,Int. Relations,Foreign Policy Making
SSC3051,Contemporary Security Studies,Int. Relations,Contemporary Security Studies
SSC3052,Criminology and Transitional Justice,Int. Relations,Criminology and Transitional Justice
SSC3053,Corporate Finance,Business,Corporate Finance
SSC3054,"International Trade Law: Globalization, Trade and Development",International Law,"International Trade Law: Globalization, Trade and Development"
SSC3055,Chinese International Relations and Foreign Policy,Int. Relations,Chinese International Relations and Foreign Policy
SSC3056,"Innovation Systems, Policy and Sustainability Transitions",Globalization & SD,"Innovation Systems, Policy and Sustainability Transitions"
SSC3057,Economics and Society: History of Economic Thought,Economics,Economics and Society
UGR3001,Undergraduate Research PEERS,Methods,Undergraduate Research PEERS
UGR3002,Undergraduate Research/The Documentary,Skills,Undergraduate Research/The Documentary
UGR3003,Applied Research & Internship Project,Skills,Applied Research & Internship Project
UGR3005,Artistic Research Project (Pilot),Methods,Artistic Research Project (Pilot)
UGR2001,Undergraduate Research PEERS,Methods,Undergraduate Research PEERS
UGR2002,Undergraduate Research/The Documentary,Skills,Undergraduate Research/The Documentary
UGR2003,Applied Research & Internship Project,Skills,Applied Research & Internship Project
UGR2005,Artistic Research Project (Pilot),Methods,Artistic Research Project (Pilot)
